,X(m),Y(m),Z(m)
0,-0.3466666666666667,0.17176470588235293,0.0048
1,-0.3466666666666667,0.17176470588235293,0.0048
2,-0.3466666666666667,0.1435294117647059,0.0048
3,-0.32000000000000006,0.1435294117647059,0.0048
4,-0.2933333333333334,0.12941176470588234,0.0048
5,-0.27111111111111114,0.11529411764705877,0.0048
6,-0.24888888888888894,0.10352941176470587,0.0048
7,-0.22222222222222227,0.09176470588235297,0.0048
8,-0.1955555555555556,0.0658823529411765,0.0048
9,-0.1733333333333334,0.040000000000000036,0.0048
10,-0.15111111111111114,0.0117647058823529,0.0048
11,-0.15111111111111114,-0.016470588235294126,0.0048
12,0.0,-0.016470588235294126,0.0048
13,0.15111111111111108,-0.016470588235294126,0.0048
14,0.15111111111111108,-0.03058823529411764,0.0048
15,0.15111111111111108,-0.044705882352941206,0.0048
16,0.22666666666666668,-0.044705882352941206,0.0048
17,0.30222222222222217,-0.044705882352941206,0.0048
18,0.30222222222222217,-0.07058823529411767,0.0048
19,0.30222222222222217,-0.09647058823529414,0.0048
20,0.35111111111111115,-0.09647058823529414,0.0048
21,0.4,-0.09647058823529414,0.0048
22,0.4,-0.044705882352941206,0.0048
23,0.4,0.007058823529411784,0.0048
24,0.1777777777777777,0.007058823529411784,0.0048
25,-0.04444444444444451,0.007058823529411784,0.0048
26,-0.04444444444444451,0.02352941176470591,0.0048
27,-0.04444444444444451,0.040000000000000036,0.0048
28,-0.0977777777777778,0.040000000000000036,0.0048
29,-0.15111111111111114,0.040000000000000036,0.0048
30,-0.15111111111111114,0.0776470588235294,0.0048
31,-0.1733333333333334,0.11529411764705877,0.0048
32,-0.1955555555555556,0.1435294117647059,0.0048
33,-0.1955555555555556,0.17176470588235293,0.0048
34,-0.22222222222222227,0.17176470588235293,0.0048
35,-0.24888888888888894,0.1858823529411765,0.0048
36,-0.2977777777777778,0.19999999999999996,0.0048
37,-0.3466666666666667,0.19999999999999996,0.0048
38,-0.3466666666666667,0.17176470588235293,0.0048
39,-0.3466666666666667,0.17176470588235293,0.006
40,-0.4,0.02352941176470591,0.0048
41,-0.4,0.02352941176470591,0.0048
42,-0.4,-0.06823529411764706,0.0048
43,-0.3733333333333334,-0.06823529411764706,0.0048
44,-0.3466666666666667,-0.04235294117647059,0.0048
45,-0.32000000000000006,-0.016470588235294126,0.0048
46,-0.2933333333333334,-0.004705882352941226,0.0048
47,-0.32000000000000006,0.007058823529411784,0.0048
48,-0.3466666666666667,0.007058823529411784,0.0048
49,-0.3466666666666667,0.06117647058823528,0.0048
50,-0.3466666666666667,0.11529411764705877,0.0048
51,-0.3733333333333334,0.11529411764705877,0.0048
52,-0.4,0.11529411764705877,0.0048
53,-0.4,0.02352941176470591,0.0048
54,-0.4,0.02352941176470591,0.006
55,-0.15111111111111114,-0.11058823529411765,0.0048
56,-0.15111111111111114,-0.11058823529411765,0.0048
57,-0.1733333333333334,-0.12470588235294117,0.0048
58,-0.1955555555555556,-0.15058823529411763,0.0048
59,-0.1955555555555556,-0.1764705882352941,0.0048
60,-0.14666666666666672,-0.1764705882352941,0.0048
61,-0.0977777777777778,-0.18823529411764706,0.0048
62,-0.04444444444444451,-0.2,0.0048
63,0.008888888888888835,-0.2,0.0048
64,0.008888888888888835,-0.1623529411764706,0.0048
65,0.008888888888888835,-0.12470588235294117,0.0048
66,-0.01777777777777778,-0.12470588235294117,0.0048
67,-0.04444444444444451,-0.11058823529411765,0.0048
68,-0.04444444444444451,-0.09647058823529414,0.0048
69,-0.0977777777777778,-0.09647058823529414,0.0048
70,-0.15111111111111114,-0.09647058823529414,0.0048
71,-0.15111111111111114,-0.11058823529411765,0.0048
72,-0.15111111111111114,-0.11058823529411765,0.006
