,X(m),Y(m),Z(m)
0,-0.35966386554621854,0.17362637362637368,0.0048
1,-0.35966386554621854,0.17362637362637368,0.0048
2,-0.35966386554621854,0.14725274725274728,0.0048
3,-0.33949579831932775,0.14725274725274728,0.0048
4,-0.31932773109243706,0.13406593406593403,0.0048
5,-0.3025210084033614,0.1208791208791209,0.0048
6,-0.28571428571428575,0.10989010989010994,0.0048
7,-0.265546218487395,0.09890109890109888,0.0048
8,-0.24537815126050422,0.07472527472527479,0.0048
9,-0.2285714285714286,0.05054945054945059,0.0048
10,-0.21176470588235297,0.0241758241758242,0.0048
11,-0.21176470588235297,-0.00219780219780219,0.0048
12,-0.11428571428571432,-0.00219780219780219,0.0048
13,-0.01680672268907568,-0.00219780219780219,0.0048
14,-0.01680672268907568,-0.015384615384615385,0.0048
15,-0.01680672268907568,-0.02857142857142858,0.0048
16,0.05714285714285716,-0.02857142857142858,0.0048
17,0.1310924369747899,-0.02857142857142858,0.0048
18,0.1310924369747899,-0.015384615384615385,0.0048
19,0.09411764705882353,-0.00219780219780219,0.0048
20,0.05714285714285716,0.008791208791208815,0.0048
21,0.05714285714285716,0.01978021978021982,0.0048
22,-0.03697478991596648,0.01978021978021982,0.0048
23,-0.13109243697478995,0.01978021978021982,0.0048
24,-0.13109243697478995,0.03516483516483515,0.0048
25,-0.13109243697478995,0.05054945054945059,0.0048
26,-0.17142857142857149,0.05054945054945059,0.0048
27,-0.21176470588235297,0.05054945054945059,0.0048
28,-0.21176470588235297,0.08571428571428574,0.0048
29,-0.2285714285714286,0.1208791208791209,0.0048
30,-0.24537815126050422,0.14725274725274728,0.0048
31,-0.24537815126050422,0.17362637362637368,0.0048
32,-0.265546218487395,0.17362637362637368,0.0048
33,-0.28571428571428575,0.18681318681318682,0.0048
34,-0.3226890756302522,0.20000000000000007,0.0048
35,-0.35966386554621854,0.20000000000000007,0.0048
36,-0.35966386554621854,0.17362637362637368,0.0048
37,-0.35966386554621854,0.17362637362637368,0.006
38,-0.4,0.03516483516483515,0.0048
39,-0.4,0.03516483516483515,0.0048
40,-0.4,-0.050549450549450536,0.0048
41,-0.3798319327731093,-0.050549450549450536,0.0048
42,-0.35966386554621854,-0.026373626373626335,0.0048
43,-0.33949579831932775,-0.00219780219780219,0.0048
44,-0.31932773109243706,0.008791208791208815,0.0048
45,-0.33949579831932775,0.01978021978021982,0.0048
46,-0.35966386554621854,0.01978021978021982,0.0048
47,-0.35966386554621854,0.0703296703296703,0.0048
48,-0.35966386554621854,0.1208791208791209,0.0048
49,-0.3798319327731093,0.1208791208791209,0.0048
50,-0.4,0.1208791208791209,0.0048
51,-0.4,0.03516483516483515,0.0048
52,-0.4,0.03516483516483515,0.006
53,0.24537815126050422,0.06153846153846154,0.0048
54,0.24537815126050422,0.06153846153846154,0.0048
55,0.22521008403361342,0.05054945054945059,0.0048
56,0.20504201680672263,0.05054945054945059,0.0048
57,0.20504201680672263,0.0241758241758242,0.0048
58,0.18823529411764706,-0.00219780219780219,0.0048
59,0.17142857142857137,-0.015384615384615385,0.0048
60,0.17142857142857137,-0.02857142857142858,0.0048
61,0.22857142857142854,-0.02857142857142858,0.0048
62,0.2857142857142857,-0.02857142857142858,0.0048
63,0.2857142857142857,-0.06593406593406592,0.0048
64,0.2857142857142857,-0.10329670329670326,0.0048
65,0.3058823529411765,-0.10329670329670326,0.0048
66,0.3260504201680672,-0.11428571428571427,0.0048
67,0.36302521008403354,-0.12527472527472527,0.0048
68,0.4,-0.12527472527472527,0.0048
69,0.4,-0.06373626373626373,0.0048
70,0.4,-0.00219780219780219,0.0048
71,0.3798319327731092,-0.00219780219780219,0.0048
72,0.35966386554621843,0.008791208791208815,0.0048
73,0.34285714285714286,0.01978021978021982,0.0048
74,0.3260504201680672,0.03516483516483515,0.0048
75,0.3058823529411765,0.05054945054945059,0.0048
76,0.2857142857142857,0.06153846153846154,0.0048
77,0.2655462184873949,0.07252747252747249,0.0048
78,0.24537815126050422,0.06153846153846154,0.0048
79,0.24537815126050422,0.06153846153846154,0.006
80,-0.21176470588235297,-0.09010989010989012,0.0048
81,-0.21176470588235297,-0.09010989010989012,0.0048
82,-0.2285714285714286,-0.10329670329670326,0.0048
83,-0.24537815126050422,-0.12747252747252746,0.0048
84,-0.24537815126050422,-0.1516483516483516,0.0048
85,-0.20840336134453785,-0.1516483516483516,0.0048
86,-0.17142857142857149,-0.16263736263736261,0.0048
87,-0.1512605042016807,-0.17362637362637362,0.0048
88,-0.13109243697478995,-0.16263736263736261,0.0048
89,-0.11092436974789921,-0.1516483516483516,0.0048
90,-0.09075630252100847,-0.12747252747252746,0.0048
91,-0.11092436974789921,-0.10329670329670326,0.0048
92,-0.13109243697478995,-0.09010989010989012,0.0048
93,-0.13109243697478995,-0.07692307692307693,0.0048
94,-0.17142857142857149,-0.07692307692307693,0.0048
95,-0.21176470588235297,-0.07692307692307693,0.0048
96,-0.21176470588235297,-0.09010989010989012,0.0048
97,-0.21176470588235297,-0.09010989010989012,0.006
98,0.05714285714285716,-0.13846153846153847,0.0048
99,0.05714285714285716,-0.13846153846153847,0.0048
100,0.05714285714285716,-0.17362637362637362,0.0048
101,0.07731092436974785,-0.17362637362637362,0.0048
102,0.09747899159663864,-0.18681318681318682,0.0048
103,0.134453781512605,-0.2,0.0048
104,0.17142857142857137,-0.2,0.0048
105,0.17142857142857137,-0.1516483516483516,0.0048
106,0.17142857142857137,-0.10329670329670326,0.0048
107,0.11428571428571421,-0.10329670329670326,0.0048
108,0.05714285714285716,-0.10329670329670326,0.0048
109,0.05714285714285716,-0.13846153846153847,0.0048
110,0.05714285714285716,-0.13846153846153847,0.006
